T_K,P_atm,quantity,max_abs_JAX_minus_SciPy,RMSE_JAX_minus_SciPy
351.5,0.84,Temperature,9.094947017729282e-13,2.6991148393068623e-13
351.5,0.84,Pressure,4.656612873077393e-10,1.226511522295505e-10
351.5,0.84,Y_H2,3.469446951953614e-18,3.040924567704477e-19
351.5,0.84,Y_O2,2.7755575615628914e-17,2.0409127979886225e-18
351.5,0.84,Y_H2O,5.551115123125783e-17,1.96792381822306e-17
351.5,0.84,Y_OH,6.938893903907228e-18,1.7832406786085977e-18
351.5,0.84,Y_H,2.168404344971009e-19,3.478188613783251e-20
351.5,0.84,Y_O,1.734723475976807e-18,2.4016676849993463e-19
351.5,0.84,Y_HO2,1.3552527156068805e-20,2.0305616467936507e-21
351.5,0.84,Y_H2O2,3.3881317890172014e-21,3.2461923004841574e-22
351.5,0.84,Y_N2,0.0,0.0
351.5,2.54,Temperature,9.094947017729282e-13,2.97691685447305e-13
351.5,2.54,Pressure,1.3969838619232178e-09,2.886223603938249e-10
351.5,2.54,Y_H2,3.469446951953614e-18,2.617100256159705e-19
351.5,2.54,Y_O2,2.7755575615628914e-17,1.7143655800954293e-18
351.5,2.54,Y_H2O,5.551115123125783e-17,1.8584494539956716e-17
351.5,2.54,Y_OH,3.469446951953614e-18,1.1430322776693339e-18
351.5,2.54,Y_H,2.168404344971009e-19,1.8450029063002062e-20
351.5,2.54,Y_O,8.673617379884035e-19,1.7414866247767853e-19
351.5,2.54,Y_HO2,6.776263578034403e-21,2.3227861286140797e-21
351.5,2.54,Y_H2O2,1.3552527156068805e-20,6.162855959460666e-22
351.5,2.54,Y_N2,0.0,0.0
351.5,4.64,Temperature,9.094947017729282e-13,1.5643132610838237e-13
351.5,4.64,Pressure,1.862645149230957e-09,4.059540986586989e-10
351.5,4.64,Y_H2,3.469446951953614e-18,1.995246234123702e-19
351.5,4.64,Y_O2,2.7755575615628914e-17,1.7662404350773543e-18
351.5,4.64,Y_H2O,5.551115123125783e-17,2.6805453986427302e-17
351.5,4.64,Y_OH,3.469446951953614e-18,1.4487797851597174e-18
351.5,4.64,Y_H,1.0842021724855044e-19,1.6206465346023324e-20
351.5,4.64,Y_O,8.673617379884035e-19,1.4177783112694706e-19
351.5,4.64,Y_HO2,2.168404344971009e-19,7.785334126694512e-21
351.5,4.64,Y_H2O2,1.6940658945086007e-21,5.775994618993792e-22
351.5,4.64,Y_N2,0.0,0.0
651.5,0.84,Temperature,9.094947017729282e-13,2.7197858292611446e-13
651.5,0.84,Pressure,2.3283064365386963e-10,7.136870081594493e-11
651.5,0.84,Y_H2,3.469446951953614e-18,3.507635605162915e-19
651.5,0.84,Y_O2,2.7755575615628914e-17,2.2529154165814856e-18
651.5,0.84,Y_H2O,5.551115123125783e-17,1.619033941252812e-17
651.5,0.84,Y_OH,6.938893903907228e-18,2.1597496052318857e-18
651.5,0.84,Y_H,4.336808689942018e-19,6.698111754796194e-20
651.5,0.84,Y_O,3.469446951953614e-18,4.450954749898837e-19
651.5,0.84,Y_HO2,6.776263578034403e-21,2.033026122423021e-21
651.5,0.84,Y_H2O2,3.3881317890172014e-21,3.285666350857675e-22
651.5,0.84,Y_N2,0.0,0.0
651.5,2.54,Temperature,9.094947017729282e-13,2.7970967020103876e-13
651.5,2.54,Pressure,6.984919309616089e-10,2.05190604962444e-10
651.5,2.54,Y_H2,1.734723475976807e-18,2.9038272692945324e-19
651.5,2.54,Y_O2,2.7755575615628914e-17,1.97026712507607e-18
651.5,2.54,Y_H2O,5.551115123125783e-17,1.6921040005311592e-17
651.5,2.54,Y_OH,6.938893903907228e-18,2.042755092001528e-18
651.5,2.54,Y_H,4.336808689942018e-19,4.242612078303445e-20
651.5,2.54,Y_O,1.734723475976807e-18,3.058913261022848e-19
651.5,2.54,Y_HO2,5.421010862427522e-20,3.926921236354169e-21
651.5,2.54,Y_H2O2,3.3881317890172014e-21,4.279053625960334e-22
651.5,2.54,Y_N2,0.0,0.0
651.5,4.64,Temperature,9.094947017729282e-13,2.452405425380893e-13
651.5,4.64,Pressure,9.313225746154785e-10,3.497629842175714e-10
651.5,4.64,Y_H2,3.469446951953614e-18,2.667519285211933e-19
651.5,4.64,Y_O2,2.7755575615628914e-17,1.7092382201564703e-18
651.5,4.64,Y_H2O,5.551115123125783e-17,2.110762406813189e-17
651.5,4.64,Y_OH,6.938893903907228e-18,1.8763903324156503e-18
651.5,4.64,Y_H,1.0842021724855044e-19,3.214740191831881e-20
651.5,4.64,Y_O,1.734723475976807e-18,2.342144381509676e-19
651.5,4.64,Y_HO2,1.3552527156068805e-20,3.4882951768641705e-21
651.5,4.64,Y_H2O2,6.776263578034403e-21,5.368255770576507e-22
651.5,4.64,Y_N2,0.0,0.0
951.5,0.84,Temperature,9.094947017729282e-13,2.6831057132780975e-13
951.5,0.84,Pressure,1.1641532182693481e-10,3.972788347056149e-11
951.5,0.84,Y_H2,6.938893903907228e-18,5.063738747796615e-19
951.5,0.84,Y_O2,2.7755575615628914e-17,2.6724502259978576e-18
951.5,0.84,Y_H2O,5.551115123125783e-17,1.6658238623219898e-17
951.5,0.84,Y_OH,6.938893903907228e-18,2.438917278608054e-18
951.5,0.84,Y_H,8.673617379884035e-19,1.057705069571215e-19
951.5,0.84,Y_O,6.938893903907228e-18,6.605631356909536e-19
951.5,0.84,Y_HO2,6.776263578034403e-21,1.9634606181770845e-21
951.5,0.84,Y_H2O2,3.3881317890172014e-21,2.955146701886771e-22
951.5,0.84,Y_N2,0.0,0.0
951.5,2.54,Temperature,9.094947017729282e-13,2.7947853698139764e-13
951.5,2.54,Pressure,4.656612873077393e-10,1.39212477289855e-10
951.5,2.54,Y_H2,1.734723475976807e-18,4.189755240139869e-19
951.5,2.54,Y_O2,2.7755575615628914e-17,2.3144097860636087e-18
951.5,2.54,Y_H2O,5.551115123125783e-17,1.5782488380292965e-17
951.5,2.54,Y_OH,6.938893903907228e-18,2.521821002872465e-18
951.5,2.54,Y_H,4.336808689942018e-19,6.565170182878014e-20
951.5,2.54,Y_O,1.734723475976807e-18,4.717635806125007e-19
951.5,2.54,Y_HO2,2.710505431213761e-20,3.438578213497749e-21
951.5,2.54,Y_H2O2,1.6940658945086007e-21,4.327680796360713e-22
951.5,2.54,Y_N2,0.0,0.0
951.5,4.64,Temperature,9.094947017729282e-13,2.7347927475100606e-13
951.5,4.64,Pressure,9.313225746154785e-10,2.237275134989305e-10
951.5,4.64,Y_H2,1.734723475976807e-18,3.181968679148592e-19
951.5,4.64,Y_O2,2.7755575615628914e-17,2.06473392450024e-18
951.5,4.64,Y_H2O,5.551115123125783e-17,1.6268216656757823e-17
951.5,4.64,Y_OH,6.938893903907228e-18,2.091283317816921e-18
951.5,4.64,Y_H,2.168404344971009e-19,5.528368034183278e-20
951.5,4.64,Y_O,1.734723475976807e-18,3.830165727258045e-19
951.5,4.64,Y_HO2,1.3552527156068805e-20,3.946361559309116e-21
951.5,4.64,Y_H2O2,6.776263578034403e-21,5.597257977474153e-22
951.5,4.64,Y_N2,0.0,0.0
