quantity,units,RMSE,MAE,max_abs_error,NRMSE_pct
Temperature,K,12.170809669349826,3.777506616291257,189.21492560981892,0.8618937005301169
Pressure,Pa,204962.65775901885,204722.89432453006,339252.7619271476,26.9835262305061
Y_H2,mass fraction,0.00025876562316881467,0.0001881051087571445,0.005729493430423409,0.9072368956445638
Y_O2,mass fraction,0.001847763602491355,0.001060817227238507,0.04825858667949137,0.8163158351899761
Y_H2O,mass fraction,0.0031151201738898247,0.0027424985386643418,0.042751126904993705,1.4359601555492492
Y_OH,mass fraction,0.0011457882847759149,0.0011120824782235189,0.007168244042431184,4.196201072561438
Y_H,mass fraction,7.131905607067049e-05,5.562245867501912e-05,0.0006804243871662494,2.216209287259479
Y_O,mass fraction,0.0004204776401258853,0.00035489262938821054,0.0036726589381370044,3.068904523552492
Y_HO2,mass fraction,8.95845208347409e-06,6.429132660623207e-07,0.00024105463611287184,1.2338185516745799
Y_H2O2,mass fraction,6.992030810611858e-07,2.261741525069067e-07,1.834525257973786e-05,1.3266617707071706
Y_N2,mass fraction,0.0,0.0,0.0,0.0
