quantity,units,RMSE,MAE,max_abs_error,NRMSE_pct
Temperature,K,0.756186318383082,0.2728554895681473,18.126727228493564,0.05352603947649901
Pressure,Pa,26559.834485268973,26530.811698746584,44331.32066448848,3.4541497089574396
Y_H2,mass fraction,3.922393874644284e-05,4.136529946495513e-06,0.0012526331708759449,0.1375198296725062
Y_O2,mass fraction,0.00028608653534366974,2.5840506431956873e-05,0.008909599245574024,0.1263889865136398
Y_H2O,mass fraction,0.00025203330142961676,3.728751405909579e-05,0.007776259558088999,0.11614423487136814
Y_OH,mass fraction,4.4004419413393055e-05,1.5955488075205667e-05,0.0010502922119040616,0.1610292504642263
Y_H,mass fraction,9.745191359289977e-06,1.7038189383073294e-06,0.00032084328891020513,0.30161419023811165
Y_O,mass fraction,3.4124460845367754e-05,1.0046726211081557e-05,0.0010415864804778508,0.2525216937284946
Y_HO2,mass fraction,1.1482088863969263e-06,8.186489085541375e-08,3.163566912012665e-05,0.15949574317565823
Y_H2O2,mass fraction,1.7266914948161444e-07,2.3792662510067407e-08,4.886546189027519e-06,0.31807533857230796
Y_N2,mass fraction,0.0,0.0,0.0,0.0
